OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
66;Waalstraat;Tram;12;12;5;12 - Waalstraat;POINT(4.899972 52.346697);POINT(52.346697 4.899972);4.899.972;52.346.697
67;Cornelis Troostplein / Van Hillegaertstraat;Tram;12;12;5;12 - Cornelis Troostplein / Van Hillegaertstraat;POINT(4.891543 52.350197);POINT(52.350197 4.891543);4.891.543;52.350.197
68;Dam / Paleisstraat;Tram;2 | 12 | 13 | 17;02|12|13|17;5;2 | 12 | 13 | 17 - Dam / Paleisstraat;POINT(4.890512 52.373161);POINT(52.373161 4.890512);4.890.512;52.373.161
69;Burg. Van Leeuwenlaan;Tram;13;13;5;13 - Burg. Van Leeuwenlaan;POINT(4.812448 52.376429);POINT(52.376429 4.812448);4.812.448;52.376.429
70;Burg. Fockstraat;Tram;7;7;5;7 - Burg. Fockstraat;POINT(4.832243 52.379721);POINT(52.379721 4.832243);4.832.243;52.379.721
71;Burg.Eliasstraat;Tram;7;7;5;7 - Burg.Eliasstraat;POINT(4.826824 52.380571);POINT(52.380571 4.826824);4.826.824;52.380.571
72;Burg. Rendorpstraat;Tram;13;13;5;13 - Burg. Rendorpstraat;POINT(4.827313 52.374411);POINT(52.374411 4.827313);4.827.313;52.374.411
73;Admiraal Helfrichstraat;Tram;13;13;5;13 - Admiraal Helfrichstraat;POINT(4.844117 52.369434);POINT(52.369434 4.844117);4.844.117;52.369.434
75;Dr. H. Colijnstraat;Tram;13;13;5;13 - Dr. H. Colijnstraat;POINT(4.806463 52.376945);POINT(52.376945 4.806463);4.806.463;52.376.945
76;Lambertus Zijlplein;Tram;13;13;5;13 - Lambertus Zijlplein;POINT(4.803269 52.377261);POINT(52.377261 4.803269);4.803.269;52.377.261
77;Mercatorplein;Tram;7 | 13;07|13;5;7 | 13 - Mercatorplein;POINT(4.850261 52.370039);POINT(52.370039 4.850261);4.850.261;52.370.039
78;Jan Voermanstraat;Tram;13;13;5;13 - Jan Voermanstraat;POINT(4.838204 52.369648);POINT(52.369648 4.838204);4.838.204;52.369.648
79;Sloterpark;Tram;7;7;5;7 - Sloterpark;POINT(4.818873 52.372849);POINT(52.372849 4.818873);4.818.873;52.372.849
80;Rembrandtplein;Tram;4 | 14;04|14;5;4 | 14 - Rembrandtplein;POINT(4.896573 52.366244);POINT(52.366244 4.896573);4.896.573;52.366.244
81;Artis;Tram;14;14;5;14 - Artis;POINT(4.91117 52.366628);POINT(52.366628 4.91117);491.117;52.366.628
83;Burg. Röellstraat / Slotermerlaan;Tram;7 | 13;07|13;5;7 | 13 - Burg. Röellstraat / Slotermerlaan;POINT(4.81902 52.375695);POINT(52.375695 4.81902);481.902;52.375.695
84;Flevopark;Tram;3 | 14;03|14;5;3 | 14 - Flevopark;POINT(4.951398 52.365172);POINT(52.365172 4.951398);4.951.398;52.365.172
85;Mr. Visserplein;Tram;14;14;5;14 - Mr. Visserplein;POINT(4.905698 52.367822);POINT(52.367822 4.905698);4.905.698;52.367.822
86;Eerste Van Swindenstraat;Tram;19;19;5;19 - Eerste Van Swindenstraat;POINT(4.92398 52.361919);POINT(52.361919 4.92398);492.398;52.361.919
87;Linnaeusstraat / Wijttenbachstraat;Tram;1 | 3 | 19;01|03|19;5;1 | 3 | 19 - Linnaeusstraat / Wijttenbachstraat;POINT(4.925295 52.360018);POINT(52.360018 4.925295);4.925.295;52.360.018
88;Insulindeweg;Tram;3 | 14;03|14;5;3 | 14 - Insulindeweg;POINT(4.947752 52.364873);POINT(52.364873 4.947752);4.947.752;52.364.873
89;Jan Tooropstraat;Tram;13;13;5;13 - Jan Tooropstraat;POINT(4.838105 52.371488);POINT(52.371488 4.838105);4.838.105;52.371.488
90;Bos en Lommerplein;Tram;7;7;5;7 - Bos en Lommerplein;POINT(4.845748 52.377877);POINT(52.377877 4.845748);4.845.748;52.377.877
91;Soembawastraat;Tram;3 | 14;03|14;5;3 | 14 - Soembawastraat;POINT(4.943723 52.362213);POINT(52.362213 4.943723);4.943.723;52.362.213
92;Molukkenstraat;Tram;3 | 14;03|14;5;3 | 14 - Molukkenstraat;POINT(4.940094 52.361697);POINT(52.361697 4.940094);4.940.094;52.361.697
93;Hogeweg;Tram;19;19;5;19 - Hogeweg;POINT(4.930963 52.353489);POINT(52.353489 4.930963);4.930.963;52.353.489
94;Hugo de Vrieslaan;Tram;19;19;5;19 - Hugo de Vrieslaan;POINT(4.935164 52.350859);POINT(52.350859 4.935164);4.935.164;52.350.859
95;Pontanusstraat;Tram;14;14;5;14 - Pontanusstraat;POINT(4.927672 52.365925);POINT(52.365925 4.927672);4.927.672;52.365.925
96;Zeeburgerdijk;Tram;14;14;5;14 - Zeeburgerdijk;POINT(4.932676 52.365812);POINT(52.365812 4.932676);4.932.676;52.365.812
97;Javaplein;Tram;14;14;5;14 - Javaplein;POINT(4.937667 52.364327);POINT(52.364327 4.937667);4.937.667;52.364.327
98;Dam;Tram;4 | 14 | 24;04|14|24;5;4 | 14 | 24 - Dam;POINT(4.894051 52.373816);POINT(52.373816 4.894051);4.894.051;52.373.816
99;Rokin;Tram;4 | 14 | 24 | 52;04|14|24|52;5;4 | 14 | 24 | 52 - Rokin;POINT(4.892378 52.3698);POINT(52.3698 4.892378);4.892.378;523.698
101;Marie Heinekenplein;Tram;24;24;5;24 - Marie Heinekenplein;POINT(4.890701 52.357072);POINT(52.357072 4.890701);4.890.701;52.357.072
102;IJsbaanpad;Tram;24;24;5;24 - IJsbaanpad;POINT(4.857697 52.341126);POINT(52.341126 4.857697);4.857.697;52.341.126
103;Concertgebouw;Tram;3 | 5 | 12;03|05|12;5;3 | 5 | 12 - Concertgebouw;POINT(4.8796365 52.3566715);POINT(52.3566715 4.8796365);48.796.365;523.566.715
104;Dijkgraafplein;Tram;17 | 27;17|27;5;17 | 27 - Dijkgraafplein;POINT(4.786911 52.355548);POINT(52.355548 4.786911);4.786.911;52.355.548
105;Baden Powellweg;Tram;17 | 27;17|27;5;17 | 27 - Baden Powellweg;POINT(4.791584 52.356492);POINT(52.356492 4.791584);4.791.584;52.356.492
106;Hoekenes;Tram;17 | 27;17|27;5;17 | 27 - Hoekenes;POINT(4.799095 52.358004);POINT(52.358004 4.799095);4.799.095;52.358.004
107;Osdorpplein West;Tram;17 | 27;17|27;5;17 | 27 - Osdorpplein West;POINT(4.803203 52.359418);POINT(52.359418 4.803203);4.803.203;52.359.418
108;Osdorpplein Oost;Tram;17 | 27;17|27;5;17 | 27 - Osdorpplein Oost;POINT(4.807557 52.359622);POINT(52.359622 4.807557);4.807.557;52.359.622
109;Elandsgracht;Tram;5 | 7 | 17 | 19;05|07|17|19;5;5 | 7 | 17 | 19 - Elandsgracht;POINT(4.877952 52.368807);POINT(52.368807 4.877952);4.877.952;52.368.807
110;De Clercqstraat / Bilderdijkstraat;Tram;3 | 13 | 19;03|13|19;5;3 | 13 | 19 - De Clercqstraat / Bilderdijkstraat;POINT(4.870333 52.370886);POINT(52.370886 4.870333);4.870.333;52.370.886
111;Amstelveenseweg;Tram;2;2;5;2 - Amstelveenseweg;POINT(4.856596 52.35151);POINT(52.35151 4.856596);4.856.596;5.235.151
112;Westlandgracht;Tram;2;2;5;2 - Westlandgracht;POINT(4.845329 52.351584);POINT(52.351584 4.845329);4.845.329;52.351.584
113;Laan van Vlaanderen;Tram;2;2;5;2 - Laan van Vlaanderen;POINT(4.816059 52.346463);POINT(52.346463 4.816059);4.816.059;52.346.463
114;Centrum Nieuw Sloten;Tram;2;2;5;2 - Centrum Nieuw Sloten;POINT(4.81092 52.34636);POINT(52.34636 4.81092);481.092;5.234.636
115;Oudenaardeplantsoen;Tram;2;2;5;2 - Oudenaardeplantsoen;POINT(4.803954 52.344996);POINT(52.344996 4.803954);4.803.954;52.344.996
116;Cornelis Schuytstraat;Tram;2;2;5;2 - Cornelis Schuytstraat;POINT(4.8707 52.356018);POINT(52.356018 4.8707);48.707;52.356.018
117;Valeriusplein;Tram;2;2;5;2 - Valeriusplein;POINT(4.863504 52.353226);POINT(52.353226 4.863504);4.863.504;52.353.226
118;Delflandlaan;Tram;2;2;5;2 - Delflandlaan;POINT(4.840877 52.351551);POINT(52.351551 4.840877);4.840.877;52.351.551
119;Louwesweg;Tram;2;2;5;2 - Louwesweg;POINT(4.824626 52.346694);POINT(52.346694 4.824626);4.824.626;52.346.694
120;Johan Huizingalaan;Tram;2;2;5;2 - Johan Huizingalaan;POINT(4.827477 52.349164);POINT(52.349164 4.827477);4.827.477;52.349.164
121;Hoofddorpplein;Tram;2;2;5;2 - Hoofddorpplein;POINT(4.849935 52.351309);POINT(52.351309 4.849935);4.849.935;52.351.309
122;Van Baerlestraat;Tram;3;3;5;3 - Van Baerlestraat;POINT(4.878272 52.3585511);POINT(52.3585511 4.878272);4.878.272;523.585.511
123;Prinses Irenestraat;Tram;5;5;5;5 - Prinses Irenestraat;POINT(4.876771 52.342904);POINT(52.342904 4.876771);4.876.771;52.342.904
124;Stadionweg / Beethovenstraat;Tram;5 | 24;05|24;5;5 | 24 - Stadionweg / Beethovenstraat;POINT(4.876902 52.347097);POINT(52.347097 4.876902);4.876.902;52.347.097
125;Minervaplein;Tram;24;24;5;24 - Minervaplein;POINT(4.872528 52.346736);POINT(52.346736 4.872528);4.872.528;52.346.736
126;IJburg;Tram;26;26;5;26 - IJburg;POINT(5.004301 52.35095);POINT(52.35095 5.004301);5.004.301;5.235.095
127;Oostpoort;Tram;19;19;5;19 - Oostpoort;POINT(4.927077 52.357213);POINT(52.357213 4.927077);4.927.077;52.357.213
128;Muziekgebouw Bimhuis;Tram;26;26;5;26 - Muziekgebouw Bimhuis;POINT(4.913021 52.377247);POINT(52.377247 4.913021);4.913.021;52.377.247
129;Kattenburgerstraat;Tram;26;26;5;26 - Kattenburgerstraat;POINT(4.921578 52.376122);POINT(52.376122 4.921578);4.921.578;52.376.122
130;Zuiderzeeweg;Tram;26;26;5;26 - Zuiderzeeweg;POINT(4.96151 52.372026);POINT(52.372026 4.96151);496.151;52.372.026
131;Steigereiland;Tram;26;26;5;26 - Steigereiland;POINT(4.980435 52.362993);POINT(52.362993 4.980435);4.980.435;52.362.993
132;Vennepluimstraat;Tram;26;26;5;26 - Vennepluimstraat;POINT(4.990809 52.357584);POINT(52.357584 4.990809);4.990.809;52.357.584
133;Diemerparklaan;Tram;26;26;5;26 - Diemerparklaan;POINT(4.995222 52.355237);POINT(52.355237 4.995222);4.995.222;52.355.237
134;Lumièrestraat;Tram;26;26;5;26 - Lumièrestraat;POINT(4.99964 52.352886);POINT(52.352886 4.99964);499.964;52.352.886
135;Zoutkeetsgracht;Tram;_;_;5;_ - Zoutkeetsgracht;POINT(4.885239 52.388067);POINT(52.388067 4.885239);4.885.239;52.388.067
136;Beukenweg;Tram;1 | 3;01|03;5;1 | 3 - Beukenweg;POINT(4.91704 52.358589);POINT(52.358589 4.91704);491.704;52.358.589
137;Marnixplein;Tram;5;5;5;5 - Marnixplein;POINT(4.8784651 52.377477);POINT(52.377477 4.8784651);48.784.651;52.377.477
138;Victorieplein;Tram;4 | 12;04|12;5;4 | 12 - Victorieplein;POINT(4.904905 52.346245);POINT(52.346245 4.904905);4.904.905;52.346.245
139;Wibautstraat;Tram;3;3;5;3 - Wibautstraat;POINT(4.909558 52.357323);POINT(52.357323 4.909558);4.909.558;52.357.323
140;Lutmastraat;Tram;4;4;5;4 - Lutmastraat;POINT(4.903209 52.351688);POINT(52.351688 4.903209);4.903.209;52.351.688
141;Amsteldijk;Tram;12;12;5;12 - Amsteldijk;POINT(4.910978 52.347096);POINT(52.347096 4.910978);4.910.978;52.347.096
142;Muiderpoortstation;Tram;1 | 3;01|03;5;1 | 3 - Muiderpoortstation;POINT(4.932956 52.360938);POINT(52.360938 4.932956);4.932.956;52.360.938
144;Fredrik Hendrikplantsoen;Tram;3;3;5;3 - Fredrik Hendrikplantsoen;POINT(4.875341 52.378542);POINT(52.378542 4.875341);4.875.341;52.378.542
