OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
182;Centraal Station;Metro;2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54;02|04|12|13|14|17|24|26|51|52|53|54;7;2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54 - Centraal Station;POINT(4.899773 52.378027);POINT(52.378027 4.899773);4.899.773;52.378.027
183;Waterlooplein;Metro;14 | 51 | 53 | 54;14|51|53|54;7;14 | 51 | 53 | 54 - Waterlooplein;POINT(4.902401 52.367349);POINT(52.367349 4.902401);4.902.401;52.367.349
184;Weesperplein;Metro;1 | 7 | 19 | 51 | 53 | 54;01|07|19|51|53|54;7;1 | 7 | 19 | 51 | 53 | 54 - Weesperplein;POINT(4.907978 52.361173);POINT(52.361173 4.907978);4.907.978;52.361.173
185;Wibautstraat;Metro;51 | 53 | 54;51|53|54;7;51 | 53 | 54 - Wibautstraat;POINT(4.912123 52.354333);POINT(52.354333 4.912123);4.912.123;52.354.333
186;Olympiaweg;Tram;24;24;5;24 - Olympiaweg;POINT(4.858524 52.345272);POINT(52.345272 4.858524);4.858.524;52.345.272
187;Olympiaplein;Tram;24;24;5;24 - Olympiaplein;POINT(4.866257 52.34634);POINT(52.34634 4.866257);4.866.257;5.234.634
188;Gerrit van der Veenstraat;Tram;5 | 24;05|24;5;5 | 24 - Gerrit van der Veenstraat;POINT(4.877276 52.349099);POINT(52.349099 4.877276);4.877.276;52.349.099
189;Nieuwmarkt;Metro;51 | 53 | 54;51|53|54;7;51 | 53 | 54 - Nieuwmarkt;POINT(4.901301 52.37192);POINT(52.37192 4.901301);4.901.301;5.237.192
190;Amstelstation;Metro;12 | 51 | 53 | 54;12|51|53|54;7;12 | 51 | 53 | 54 - Amstelstation;POINT(4.918297 52.346663);POINT(52.346663 4.918297);4.918.297;52.346.663
191;Van der Madeweg;Metro;50 | 53 | 54;50|53|54;7;50 | 53 | 54 - Van der Madeweg;POINT(4.9303 52.329678);POINT(52.329678 4.9303);49.303;52.329.678
192;Verrijn Stuartweg;Metro;53;53;7;53 - Verrijn Stuartweg;POINT(4.966759 52.328624);POINT(52.328624 4.966759);4.966.759;52.328.624
193;Station Ganzenhoef;Metro;53;53;7;53 - Station Ganzenhoef;POINT(4.973044 52.323631);POINT(52.323631 4.973044);4.973.044;52.323.631
194;Kraaiennest station;Metro;53;53;7;53 - Kraaiennest station;POINT(4.979454 52.316618);POINT(52.316618 4.979454);4.979.454;52.316.618
195;Gaasperplas;Metro;53;53;7;53 - Gaasperplas;POINT(4.984549 52.311035);POINT(52.311035 4.984549);4.984.549;52.311.035
196;Venserpolder;Metro;53;53;7;53 - Venserpolder;POINT(4.946229 52.326737);POINT(52.326737 4.946229);4.946.229;52.326.737
197;Witte de Withstraat;Tram;7 | 17;07|17;5;7 | 17 - Witte de Withstraat;POINT(4.859676 52.364725);POINT(52.364725 4.859676);4.859.676;52.364.725
198;Willem Schoutenstraat;Tram;7;7;5;7 - Willem Schoutenstraat;POINT(4.852482 52.367174);POINT(52.367174 4.852482);4.852.482;52.367.174
199;Admiraal De Ruijterweg;Tram;13 | 19;13|19;5;13 | 19 - Admiraal De Ruijterweg;POINT(4.859967 52.371499);POINT(52.371499 4.859967);4.859.967;52.371.499
